article_number;article_title;article_text
12;"

Art. 12


Änderung des Gewässerrichtplans
      1 Grundsatz

";"
1

Für Änderungen des Gewässerrichtplans findet das gleiche Verfahren Anwendung wie für dessen erstmaligen Erlass.

"
13;"

Art. 13


2 Änderung im Zusammenhang mit einem Wasserbauprojekt

";"
1

Wird ein Wasserbauplan oder eine Wasserbaubewilligung, die dem Gewässerrichtplan nicht entspricht (Art. 25 Abs. 5 und Art. 30 Abs. 1 Bst. b WBG) rechtskräftig, stellt die Bau-, Verkehrs- und Energiedirektion dem Regierungsrat Antrag, den Gewässerrichtplan anzupassen. Auf das Mitwirkungsverfahren wird verzichtet. *

"
14;"

Art. 14


Wasserbauplanverfahren
      1 Minimale Unterlagen

";"
1

Für die Beurteilung eines Wasserbauplans sind mindestens folgende Unterlagen erforderlich:





        a
      

        technischer Bericht mit Nachweis des Bedürfnisses im Sinne von Artikel 7 Absatz 1 des Wasserbaugesetzes[8];
      





        b
      

        Kostenvoranschlag;
      





        c *


        Übersichtsplan;
      





        d *


        Situationsplan;
      





        e
      

        Längenprofil;
      





        f *


        typische Querprofile;
      





        g
      

        Normalprofile;
      





        h
      

        Fotodokumentation zur bestehenden Situation;
      





        i *


        gegebenenfalls ein Landerwerbsplan;
      





        k
      

        der Mitwirkungsbericht; Artikel 27 des Wasserbaugesetzes bleibt vorbehalten;
      





        l
      

        der Bericht über die Umweltverträglichkeit, wo er bundesrechtlich vorgeschrieben ist.
      



2

Bei der Kombination eines generellen Projekts mit Ausführungsprojekten sind die Teile, die ohne Wasserbaubewilligungsverfahren ausgeführt werden sollen, deutlich zu bezeichnen.



3

… *



4

Mit Zustimmung des Tiefbauamtes kann auf einzelne Unterlagen verzichtet werden.

"
15;"

Art. 15


2 Zusätzliche Unterlagen

";"
1

Das Tiefbauamt kann weitere Unterlagen, wie z. B. eine Übersicht, die separate Darstellung einzelner Spezialbauwerke, eine hydrogeologische Untersuchung, ein Inventar der natürlichen Lebensräume, einen Bepflanzungs- oder Gestaltungsplan oder die Beschreibung des späteren Gewässerunterhalts verlangen, falls diese für die Beurteilung des Projekts erforderlich sind. *

"
16;"

Art. 16


3 Form und Inhalt

";"
1

Form und Inhalt der Unterlagen richten sich nach den Wegleitungen und Weisungen des Tiefbauamtes.

"
17 *;"

Art. 17 *


      …
    
";
18 *;"

Art. 18 *


      …
    
";
19;"

Art. 19


Wasserbaubewilligungsverfahren; Unterlagen

";"
1

Im Wasserbaubewilligungsverfahren sind mindestens folgende Unterlagen erforderlich:





        a
      

        technischer Bericht mit Nachweis des Bedürfnisses im Sinne von Artikel 7 Absatz 1 des Wasserbaugesetzes[9];
      





        b
      

        Kostenvoranschlag;
      





        c *


        Übersichtsplan;
      





        d *


        Situationsplan;
      





        e
      

        Normalprofile.
      



2

… *



3

Artikel 14 Absatz 4, 15 und 16 sind anwendbar. Bei Bedarf kann das Tiefbauamt auch Längen- und Querprofile oder eine Fotodokumentation über die bestehenden Verhältnisse verlangen.



4

Für das Verfahren gilt Artikel 31 des Wasserbaugesetzes[10]. Artikel 17 Absatz 2 und Artikel 18 dieser Verordnung sind sinngemäss anwendbar.

"
20;"

Art. 20


 

";"
1

Im detaillierten Projekt (Art. 26 Abs. 1 WBG[11]) ist die örtliche Lage einer Wasserbaumassnahme an einem Fliessgewässer so genau wie möglich anzugeben. Die ohne Änderung der Bewilligung oder des Wasserbauplans zulässigen Abweichungen bei der Ausführung betragen





        a
      

        ausserhalb des Siedlungsbereiches: in der Längsrichtung ±25 Meter, quer zum Gewässer ±5 Meter;
      





        b
      

        innerhalb des Siedlungsbereiches: in der Längsrichtung ±5 Meter, quer zum Gewässer ±1 Meter.
      



2

Im generellen Projekt (Art. 26 Abs. 2 WBG[12]) genügt die Angabe des Bereichs, in welchem die Massnahme vorgesehen ist.



3

Bei stehenden Gewässern muss auch im detaillierten Projekt nur der Bereich oder Streifen angegeben werden, in welchem eine Massnahme vorgesehen ist oder sich auswirken kann. Am Ufer ist jedoch die örtliche Lage so genau anzugeben, wie dies für die vorgesehene Bauweise ohne unverhältnismässigen Aufwand möglich ist.



4

Die Toleranzen gemäss Absatz 1 bis 3 gelten nicht für den Landerwerb.



5

Ist es unmöglich, die Einzelheiten der Wasserbaumassnahmen vor der Ausführung festzulegen, so muss im detaillierten Projekt wenigstens der Ausbaucharakter so genau wie möglich festgelegt werden. Die Angabe des Ausbaucharakters genügt auch für Massnahmen in stehenden Gewässern. Das Tiefbauamt kann einen wegleitenden Katalog von verschiedenen Wasserbaumassnahmen herausgeben. 4

"
21;"

Art. 21


Anzeige

";"
1

Die Unterhaltsanzeige erfolgt auf dem Formular des Tiefbauamtes mindestens 30 Tage vor Inangriffnahme. Sie wird in drei Exemplaren beim Tiefbauamt eingereicht.



2

Sie umfasst





        a
      

        den Situations- oder Übersichtsplan;
      





        b
      

        das Normalprofil (Skizzen oder Normblätter genügen);
      





        c
      

        eine kurze Beschreibung mit Kostenschätzung;
      





        d
      

        die Angabe, ob es sich um ein reines Bachforellen- oder sonst ein Fischgewässer handelt;
      





        e
      

        Angaben über Bepflanzung und über gestalterische Massnahmen;
      





        f
      

        für zeitlich und sachlich zusammenhängende Unterhaltsarbeiten ein Unterhaltsprogramm;
      





        g
      

        die Bezeichnung einer über das Vorhaben orientierten Kontaktperson (Name, Adresse, Telefonnummer).
      



3

Der Wasserbau- oder Erfüllungspflichtige kann sämtliche Unterhaltsarbeiten in einem Kalenderjahr in einer Unterhaltsanzeige pro Gewässer zusammenfassen. Die Sammelanzeige ist mindestens 30 Tage vor Inangriffnahme der ersten Massnahme einzureichen.

"
22;"

Art. 22


Formelle Prüfung *

";"
1

… *



2

Das Tiefbauamt prüft unmittelbar nach Eingang der Anzeige, ob sie den Formerfordernissen von Artikel 21 genügt. Es kann zur Verbesserung Frist ansetzen und gleichzeitig die Ausführung der Arbeiten vorläufig untersagen. *



3

Es leitet je ein Exemplar der formrichtigen Anzeige an das Fischereiinspektorat und die Abteilung Naturförderung sowie an die übrigen betroffenen Stellen weiter. *

"
23;"

Art. 23


Materielle Prüfung

";"
1

Für die materielle Prüfung gilt Artikel 35 Absatz 4 des Wasserbaugesetzes[13].



2

Das Tiefbauamt prüft zusätzlich, ob die angezeigten Arbeiten den Handlungsgrundsätzen von Artikel 15 des Wasserbaugesetzes und dem Gewässerrichtplan entsprechen.

"
24 *;"

Art. 24 *


Beitragsverfügung

";"
1

Das Tiefbauamt orientiert den Wasserbau- oder Erfüllungspflichtigen über das Ergebnis der Prüfung nach Artikel 23. *



2

Die Orientierung bewirkt keine Beitragsansprüche. *



3

… *



4

… *

"
25;"

Art. 25


Erarbeitung des Projekts; Information und Mitwirkung

";"
1

Das Tiefbauamt oder das Amt für Wasser und Abfall erarbeitet das Projekt. Die Artikel 9, 10, 14 und 20 sind anwendbar. Auf Information und Mitwirkung kann verzichtet werden, wenn das Vorhaben Gegenstand des Gewässerrichtplans ist. *

"
26;"

Art. 26


Auflage und Einsprache

";"
1

Das Tiefbauamt legt das Projekt zusammen mit dem Mitwirkungsbericht in jeder Gemeinde, auf deren Gebiet der Plan eine Massnahme vorsieht, 30 Tage öffentlich auf und publiziert die Auflage mit dem Hinweis auf das Recht zur Einsprache.



2

Für das Recht zur Einsprache und für die Form der Einsprache gelten die Absätze 2 und 3 des Artikels 24 des Wasserbaugesetzes[14].



3

Der Regierungsstatthalter führt die Einigungsverhandlung in Gegenwart einer Vertretung des Tiefbauamtes. Mit dem Protokoll und mit seinem Bericht leitet er die Vorlage an das Tiefbauamt.

"
27;"

Art. 27


Beschluss und Wirkung

";"
1

Auf Antrag des Tiefbauamtes beschliesst die Bau-, Verkehrs- und Energiedirektion den kantonalen Wasserbauplan, wenn er recht- und zweckmässig ist und im öffentlichen Interesse liegt. *



2

Die Absätze 5 und 6 des Artikels 25 des Wasserbaugesetzes[15] sind anwendbar.



3

Für die Wirkungen gilt Artikel 26 des Wasserbaugesetzes sinngemäss.

"
28;"

Art. 28


Anwendbares Verfahren im Falle von Art. 9 Abs. 3 WBG

";"
1

Wo der Kanton selbst die Wasserbaupflicht trägt, erlässt die Bau-, Verkehrs- und Energiedirektion für Wasserbauprojekte den kantonalen Wasserbauplan. Artikel 4 Absatz 1 WBG bleibt vorbehalten. Liegt Gefahr im Verzug, kann die Bau-, Verkehrs- und Energiedirektion das beschleunigte Verfahren nach Artikel 27 WBG anordnen. *



2

Wenn gemäss Artikel 20 Absatz 2 WBG eine Wasserbaubewilligung genügt, erarbeitet das Tiefbauamt oder das Amt für Wasser und Abfall das Projekt. Artikel 31 WBG ist sinngemäss anwendbar. Bewilligungsbehörde ist in diesem Falle die kantonale Bau-, Verkehrs- und Energiedirektion. Liegt Gefahr im Verzug, kann sie das beschleunigte Verfahren nach Artikel 31 Absatz 5 WBG anordnen. *



3

Wo der Kanton an der Aare wasserbaupflichtig ist, erarbeitet das Tiefbauamt ein Unterhaltskonzept für den planbaren Gewässerunterhalt. *



4

Der Gewässerunterhalt wird vom Tiefbauamt beziehungsweise vom Amt für Wasser und Abfall in Absprache mit den übrigen betroffenen kantonalen Stellen durchgeführt.

"
28a *;"

Art. 28a *


Wasserbaupflicht des Kantons betreffend Kantonsstrassen (Art. 9 Abs. 3 Bst. a WBG) *

";"
1

Wo die Strasse entlang einem Gewässer führt, übernimmt der Kanton die Kosten für Gewässerunterhalt und Wasserbau am strassenseitigen Ufer, soweit dies für den Schutz der Kantonsstrasse notwendig ist (Objektschutz). *



2

Eine Kostenübernahme für Gewässerunterhalt und Wasserbau am gegenüberliegenden Ufer ist ausnahmsweise möglich, sofern der Schutz der Strassenanlage dies erfordert.



3

Der Kanton übernimmt in der Regel die Hälfte der Kosten der zur Sohlenstabilisierung erforderlichen Querbauten. Ein höherer Anteil ist möglich, wenn das Schutzinteresse der Kantonsstrasse dies erfordert. *



4

Wo die Strasse das Gewässer kreuzt, ist der Kanton in dem Umfang und Bereich wasserbaupflichtig, wie dies für den Schutz seiner Bauten und Anlagen notwendig ist (Objektschutz). *

"
29;"

Art. 29


Anrechenbare Kosten *

";"
1

Der Kanton gewährt seine Beiträge nur an die ausgewiesenen Kosten *





        a
      

        von rechtmässig ausgeführten Wasserbauwerken;
      





        b *


        von rechtmässig ausgeführten Arbeiten für den wesentlichen Unterhalt;
      





        c
      

        der Beschaffung von Grundlagen;
      





        d
      

        von konzeptionellen Planungen und generellen Projekten.
      



2

Bei Unterhaltszahlungen sind Honorarforderungen beitragsberechtigt, sofern sie 4000 Franken oder 12 Prozent des Werklohns nicht übersteigen. In besonderen Fällen, die zu begründen sind, wie bei unabdingbaren und aufwendigen Begleitmassnahmen können Ausnahmen gewährt werden. *



3

Zu keinem Beitrag berechtigen insbesondere *





        a *


        Leistungen des eigenen Büro- und Aufsichtspersonals,
      





        b *


        Verwaltungskosten, wie Sitzungsgelder, Entschädigungen für Besichtigungen, Aufwendungen für die Erarbeitung der Anträge und Gesuche, Auslagen für Büro und Büromaterialien, Porti, Telefonspesen und ähnliches,
      





        c *


        Kosten für Zinsendienst,
      





        d *


        Versicherungsprämien,
      





        e *


        Aufwendungen für die Anschaffung von beweglichem Inventar,
      





        f *


        Bewilligungsgebühren.
      



4

Aus besonderen Gründen kann ausnahmsweise an die Kosten des Bauprojektes nicht ausgeführter Vorhaben und an Versicherungsprämien ein Beitrag geleistet werden. *



5

Für Massnahmen zum Schutze von Bauten und Anlagen, die in ausgeschiedenen Gefahrenzonen oder bekannten Gefahrengebieten erstellt werden, wird grundsätzlich kein Beitrag gewährt. *



6

Nicht als rechtmässig ausgeführte Arbeiten gelten insbesondere:





        a
      

        nicht dem bewilligten Projekt gemäss ausgeführte Arbeiten sowie Mehrarbeiten, die offensichtlich auf Mängel bei der Ausführung zurückzuführen sind;
      





        b
      

        Wasserbauwerke, die ohne Plangenehmigung, Wasserbaubewilligung oder besondere Bewilligung angefangen oder erstellt worden sind; Artikel 20 Absatz 3 und Artikel 33 des Wasserbaugesetzes[16] bleiben vorbehalten;
      





        c
      

        Gewässerunterhaltsmassnahmen, die in wesentlicher Abweichung von der Unterhaltsanzeige oder ohne besondere Bewilligung ausgeführt worden sind.
      



7

… *

"
29a *;"

Art. 29a *


Wasserbaupflicht des Kantons an der Aare

";"
1

Das Tiefbauamt stellt die anrechenbaren Kosten im Sinn von Artikel 29 nach Abzug der Beiträge des Bundes und der Kosten, die der Kanton selbst trägt, den anstossenden Gemeinden in Rechnung.

"
30;"

Art. 30


Akontozahlungen

";"
1

Der Kanton kann, wenn der Beitrag zugesichert und mit der Ausführung der Massnahmen begonnen wurde, an ausgewiesene Teilkosten Akontozahlungen leisten. *

"
31;"

Art. 31


Periodische Prüfung

";"
1

Die Bau-, Verkehrs- und Energiedirektion überprüft alle vier Jahre, ob die durchschnittlichen Beitragssätze des Wasserbaugesetzes[17] eingehalten werden. *

"
32;"

Art. 32


Wesentlicher Unterhalt

";"
1

Der Unterhalt im Sinne von Artikel 6 WBG und den Artikeln 4 und 5 gilt als wesentlich, wenn er *





        a *


        pro Unterhaltsanzeige zu einer Subvention berechtigende Bruttokosten von mehr als 8000 Franken verursacht und
      





        b *


        notwendig ist, um
      





         
      

        1.
      

        das Durchflussvermögen des Gewässers zu gewährleisten,
      





         
      

        2.
      

        die Stabilität des Gewässerbettes oder die Funktionstüchtigkeit der Wasserbauwerke zu erhalten,
      





         
      

        3.
      

        das Gewässer naturnäher zu gestalten,
      





         
      

        4.
      

        den Uferweg zu erhalten, falls dieser ausschliesslich dem Gewässerunterhalt dient.
      

"
33 *;"

Art. 33 *


      …
    
";
33a *;"

Art. 33a *


Unterhaltskosten der I. und II. Juragewässerkorrektion

";"
1

Die Kosten für den laufenden Unterhalt des Kanalnetzes der I. und II. Juragewässerkorrektion setzen sich zusammen aus *





        a *


        Arbeitsaufwand,
      





        b *


        Betriebskosten,
      





        c *


        Drittkosten,
      





        d *


        kalkulatorischen Kosten sowie
      





        e *


        demjenigen Anteil an den Administrations- und Verwaltungskosten der Bau,- Verkehrs- und Energiedirektion, der durch den laufenden Unterhalt des Kanalnetzes der I. und II. Juragewässerkorrektion verursacht wird.
      



2

Der Kostenanteil der einzelnen Gemeinden im Einsatzgebiet «Binnenkanalnetz Grosses Moos und Binnenkanal/Sägibach» der I. Juragewässerkorrektion richtet sich zu einem Viertel nach der Einwohnerzahl der anstossenden Gemeinden und zu drei Vierteln nach der Anstosslänge und dem Nutzen gemäss Tabelle A im Anhang V. *



3

Der Kostenanteil der einzelnen Gemeinden in den Einsatzgebieten «Broye- und Zihlkanal», «Nidau-Büren-Kanal (NBK) und Aarelauf unterhalb Büren a. A. bis Kraftwerk Flumenthal» der II. Juragewässerkorrektion sowie «Hagneckkanal», «Alte Zihl» und «Häftli» der I. Juragewässerkorrektion richtet sich jeweils zu einem Viertel nach der Einwohnerzahl der anstossenden Gemeinden und zu drei Vierteln nach der Anstosslänge und dem Nutzen gemäss Tabelle B im Anhang V. *



4

Für die Einwohnerzahl ist jeweils die neuste, auf dem Portal des Kantons Bern publizierte Statistik über die Wohnbevölkerung nach dem Gesetz vom 27. November 2000 über den Finanz- und Lastenausgleich (FILAG) ) massgebend. *



5

Die Gemeinden leisten jährlich einen Akontobeitrag in der Höhe der budgetierten Unterhaltskosten. Die Abrechnung aufgrund der effektiven Kosten erfolgt im zweiten Quartal des darauffolgenden Jahres durch Verfügung der Bau-, Verkehrs- und Energiedirektion. *

"
34;"

Art. 34


Nutzungsbeschränkung

";"
1

Soweit bereits durch die Nutzungsbeschränkung gemäss Artikel 6 Absatz 2 nachweislich eine Vermögenseinbusse entsteht, wird dafür eine einmalige angemessene Entschädigung ausgerichtet.



2

Die Vorschriften des Enteignungsgesetzes[18] bleiben vorbehalten.

"
35;"

Art. 35


Überflutungsschäden

";"
1

Die Festsetzung der Ansätze für die angemessene Entschädigung der Überflutungsschäden erfolgt unter Berücksichtigung des Erntewerts der üblichsten Kulturen, der Ernteerschwerungen, der Ersatzkultur und der Wiederherstellung des ursprünglichen Zustandes. Sie erfolgt zusammen mit der Festsetzung der Beiträge an höhere Versicherungsprämien. *



2

Die Schadenregulierung ist Sache der Bau-, Verkehrs- und Energiedirektion oder eines von ihr beauftragten Dritten. *



3

Der Geschädigte meldet eine Überflutung so rechtzeitig dem Tiefbauamt oder dem beauftragten Dritten, dass es oder der Dritte den Schaden besichtigen kann, spätestens aber innert 10 Tagen.



4

Auf Antrag des Tiefbauamtes oder des beauftragten Dritten verfügt das finanzkompetente Organ die Entschädigung. Die Auszahlung richtet sich nach den verfügbaren Voranschlagskrediten.

"
36 *;"

Art. 36 *


      …
    
";
37 *;"

Art. 37 *


      …
    
";
38;"

Art. 38


Entscheid des Tiefbauamts bei Zweifeln über den Anwendungsbereich des Gesetzes (Art. 3 WBG) *

";"
1

Das Tiefbauamt entscheidet auf Gesuch eines Wasserbau- oder Erfüllungspflichtigen oder eines Grundeigentümers, ob ein Gewässer im Sinn von Artikel 3 WBG vorliegt. *

"
39 *;"

Art. 39 *


Wasserbaupolizei
      1 Beurteilungsperimeter

";"
1

Wo kein Gewässerraum ausgeschieden ist, sind Gesuche für Bauten und Anlagen innerhalb von 15 Metern ab Mittelwasserlinie bzw. bei eingedolten Gewässern innerhalb von 15 Metern ab Mittelachse dem Tiefbauamt vorzulegen. Das Tiefbauamt entscheidet, ob eine Wasserbaupolizeibewilligung nach Artikel 48 WBG nötig ist.

"
39a *;"

Art. 39a *


2 Bewilligungsvoraussetzungen nach Artikel 48 Absatz 3 WBG

";"
1

Das Gewässer, der Gewässerunterhalt und der Wasserbau sind insbesondere beeinträchtigt, wenn





        a
      

        das Gewässer oder Schutzbauten gefährdet oder beeinträchtigt werden,
      





        b
      

        der Zugang zum Gewässer behindert wird,
      





        c
      

        die Abflusskapazität verringert wird,
      





        d
      

        die Wasser- oder die Geschiebeführung nachteilig verändert wird,
      





        e
      

        der Zu- und Abfluss unterirdischer Gewässer beeinträchtigt wird,
      





        f
      

        das Gewässer eingedolt oder überdeckt wird,
      





        g
      

        ein Gewässer aufgeschüttet wird oder
      





        h
      

        infolge des Vorhabens künftig zusätzliche Aufwendungen bei Wasserbau oder Gewässerunterhalt zu erwarten sind.
      

"
40;"

Art. 40


3 Kiesentnahmen *

";"
1

Für die Erteilung einer Konzession oder einer wasserbaupolizeilichen Bewilligung für die Kiesentnahme gelten vorab die Voraussetzungen von Artikel 49 des Wasserbaugesetzes[20].



2

Eine Konzession darf im Unterschied zur Bewilligung nur dann erteilt werden, wenn das Gewässer keine oder nur eine geringe Geschiebetransportkapazität aufweist.



3

Soll dem Gewässer während längerer Zeit Kies entnommen werden oder bedingt die Kiesentnahme erhebliche Investitionen, wird keine Bewilligung, sondern allenfalls eine Konzession erteilt.



4

Das Tiefbauamt kann die Fördermenge beschränken, die Konzession oder Bewilligung mit andern Bedingungen oder Auflagen versehen oder befristen.



5

… *

"
41 *;"

Art. 41 *


      …
    
";
