"";"article_number";"article_title";"article_text";"Obs.";"Issue.1";"Domain.1";"Project.1";"Issue.2";"Domain.2";"Project.2"
"17";"Art. 17";"  Art. 17 Kantone";"1 Die Kantone sorgen für die Alarmierungsplanung. 2 Sie stellen nach den Vorgaben des Bundes bereit: a.die technischen Systeme zur Warnung der Behörden;b.die Sirenen.1 2bis Sie sorgen für den Unterhalt und durch periodische Kontrollen für die ständige Betriebsbereitschaft der technischen Systeme zur Warnung der Behörden, der dezentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung sowie der Sirenen.2 2ter Sie stellen die notwendigen externen Notstromsysteme bereit und unterhalten diese.3 3 Sie legen die Massnahmen für die rechtzeitige Warnung der Behörden und die Alarmierung der Bevölkerung fest. 4 Sie sorgen dafür, dass sie jederzeit in der Lage sind, Meldungen und Aufträge entgegenzunehmen und diese an die zuständigen Stellen weiterzuleiten. 5 Sie stellen sicher, dass die Sirenen in den Zonen 1 und 2 von Kernanlagen über die Fernsteuerung gesamthaft und in der Zone 2 sektorweise zentral ausgelöst werden können. 6 Sie informieren die Bevölkerung im Überflutungsgebiet (Nahzone und Fernzone) von Stauanlagen mit Merkblättern und Informationsschriften vorsorglich über das Verhalten bei Gefahr.4 7 Sie regeln die Unterstützung der Betreiber von Stauanlagen mit Alarmierungspersonal. 8 Sie sorgen für die Einsatzbereitschaft der Alarmierungsorgane. 1 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).2 Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).3 Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).4 Fassung gemäss Art. 20 Ziff. 2 der Notfallschutzverordnung vom 20. Okt. 2010, in Kraft seit 1. Jan. 2011 (AS 2010 5191).";"variable 1: Alarmierung ""Kantone sorgen für die Alarmierungsplanung.""; Variable 2: Notfallplan ""Sie informieren die Bevölkerung im Überflutungsgebiet (Nahzone und Fernzone)
von Stauanlagen mit Merkblättern und Informationsschriften vorsorglich über das Verhalten bei Gefahr""";NA;NA;"Alarmierung";NA;NA;"Notfallplan"
"18";"Art. 18";"  Art. 18 Gemeinden";"1 Die Gemeinden stellen sicher, dass die Bevölkerung alarmiert werden kann. 2 Sie sorgen für die ständige Betriebsbereitschaft und den Unterhalt ihrer Alarmierungsmittel.";"Nicht kodiert, da eher um Verteilung der Kompetenzen über die Vorbereitung zur Alarmierung bezogen. ";NA;NA;"";NA;NA;""
"19";"Art. 19";"  Art. 19 Betreiber von Kernanlagen";"1 Die Betreiber von Kernanlagen legen in einem Notfallreglement fest: a.die technischen Kriterien für die Auslösung der Warnung und der Alarmierung;b.die Zuständigkeiten innerhalb ihrer Organisation;c.die Meldewege nach aussen. 2 Das Notfallreglement bedarf der Genehmigung durch das ENSI.";"Kernanlagen Alarmierung";NA;NA;"";NA;NA;""
"20";"Art. 20";"  Art. 20 Betreiber von Stauanlagen";"1 Die Betreiber von Stauanlagen legen in einem Notfallreglement insbesondere fest:1 a.die technischen Kriterien für die Auslösung der Warnung und der Alarmierung;b.die Zuständigkeiten innerhalb ihrer Organisation;c.die Meldewege nach aussen. 2 Das Notfallreglement bedarf der Genehmigung durch das Bundesamt für Energie. 3 Die Betreiber von Stauanlagen sorgen für den Unterhalt und die ständige Betriebsbereitschaft der dezentralen Komponenten des Wasseralarmsystems.2 4 Sie stellen die notwendigen externen Notstromsysteme bereit und unterhalten diese.3 1 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).2 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).3 Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).";"";NA;NA;"Alarmierung";NA;NA;"Notfallplan"
"21";"Art. 20";"  Art. 20a";"1 Bund und Kantone errichten und betreiben ein Sicherheitsfunknetz für die interkantonale und organisationsübergreifende Zusammenarbeit der Stellen nach Artikel 1 Buchstabe b. 2 Das BABS ist in Zusammenarbeit mit den Behörden und Organisationen für Rettung und Sicherheit des Bundes und der Kantone für die nationalen Komponenten des Sicherheitsfunknetzes zuständig. Zu den Aufgaben gehören: a.Ausarbeitung von technischen Vorgaben zur Nutzung des Sicherheitsfunknetzes;b.Funkfeldversorgungs-, Standort- und Funknetzplanung;c.Koordination der Vermaschung und Vernetzung der Teilnetze der Kantone und des Grenzwachtkorps (GWK);d.Sicherstellung des technischen Betriebs, des Parallelbetriebs und des Werterhalts des gesamten Netzverbunds auf nationaler Ebene;e.Betrieb des Key Management Center;f.Release-, Konfigurations-, Lebenszyklus- und Änderungsmanagement;g.Bereitstellung von normierten Schnittstellenelementen;h.Sicherstellung von Kapazitätserweiterungen;i.Bereitstellung von Gateways für den Parallelbetrieb der bestehenden und neuen Teilnetze der Kantone und des GWK;j.Beschaffung und Ausstellung schweizweiter Lizenzen;k.Migration auf die neue IP-Technologie, einschliesslich Parallelbetrieb;l.zentrale Ausbildung der Systemnutzer und -nutzerinnen;m.Sicherstellung der Notstromversorgung. 3 Die Kantone sind für die kantonalen Komponenten des Sicherheitsfunknetzes zuständig. Zu den Aufgaben gehören: a.Planung, Beschaffung, Realisierung, Betrieb und Instandhaltung der Teilnetze gemäss den Bedingungen und Vorgaben zum Sicherheitsfunknetz;b.Migration der Teilnetze auf die neue IP-Technologie, einschliesslich Parallelbetrieb;c.Sicherstellung von redundanten interkantonalen Verbindungen;d.Sicherstellung von Betrieb, Instandhaltung und Werterhalt der Leitstellen und des Management Center;e.Sicherstellung der Leitstellenanbindungen über normierte Schnittstellen;f.dezentrale Ausbildung der Systemnutzer und -nutzerinnen;g.Sicherstellung der Notstromversorgung.";"";NA;NA;"";NA;NA;""
"22";"Art. 21";"  Art. 211Kostentragung für die technischen Systeme zur Alarmierung der Bevölkerung2";"1 Der Bund trägt die Kosten für: a.die Projektierung, das Material, die Installation, die Erneuerung und den Rückbau der technischen Systeme zur Alarmierung der Bevölkerung;b.den Betrieb und den Unterhalt der zentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung. 2 Die Kantone und die Gemeinden tragen die Kosten für den Betrieb und den Unterhalt der dezentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung sowie der Sirenen. Sie können die Kosten für den Betrieb und den Unterhalt der Kombisirenen und der entsprechenden dezentralen Komponenten anteilsmässig den Betreibern von Stauanlagen auferlegen. 3 Die Betreiber von Stauanlagen tragen die Kosten für den Betrieb und den Unterhalt der dezentralen Komponenten des Wasseralarmsystems sowie für die Erstellung und Erneuerung der baulichen Infrastruktur. 4 Das BABS begleicht periodisch die Kosten für den Betrieb und den Unterhalt der dezentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung nach Absatz 2 sowie des Wasseralarmsystems nach Absatz 3. Es legt die Höhe der Beträge fest und verrechnet diese den Kantonen weiter. Die Beträge können pauschal festgelegt werden. Sie werden regelmässig angepasst, insbesondere an den Landesindex der Konsumentenpreise oder an technisch bedingte neue Anforderungen. 1 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).2 Eingefügt durch Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"";NA;NA;"";NA;NA;""
"23";"Art. 21";"  Art. 21a1Kostentragung für das Sicherheitsfunknetz";"1 Der Bund trägt die Kosten für: a.die Bereitstellung, den Betrieb und den Werterhalt der nationalen Komponenten des Sicherheitsfunknetzes;b.die Bereitstellung, den Betrieb und den Werterhalt von Sicherheitsfunknetz-Standorten des Bundes und von deren Infrastrukturen;c.die Bereitstellung der Endgeräte und die Anbindung der Leitstellen der Behörden und Organisationen für Rettung und Sicherheit auf nationaler Ebene;d.die Bereitstellung der Endgeräte des Zivilschutzes. 2 Die Kantone tragen die Kosten für: a.die Bereitstellung, den Betrieb und den Werterhalt der kantonalen Komponenten des Sicherheitsfunknetzes und der Infrastrukturen ihrer Teilnetze;b.die Anbindung der Infrastrukturen ihrer Teilnetze an die nationalen Komponenten;c.die redundante Verbindung zwischen den Teilnetzen;d.die Bereitstellung der Endgeräte und die Anbindung der Leitstellen der Behörden und Organisationen für Rettung und Sicherheit auf kantonaler Ebene. 3 Das GWK und die Kantone legen zusammen mit dem BABS die Anteile der Kostenbeteiligung für die Mitbenutzung von Sendeanlagen der betroffenen Teilnetzbetreiber fest. 4 Die Betreiber von kritischen Infrastrukturen tragen die Kosten ihrer Endgeräte. 1 Eingefügt durch Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"";NA;NA;"";NA;NA;""
"24";"Art. 22";"  Art. 22";"1 Eigentümer und Eigentümerinnen sowie Mieter und Mieterinnen müssen auf ihren Grundstücken Infrastrukturen zur Warnung und Alarmierung dulden. Eine allfällige Wertverminderung wird angemessen entschädigt. 2 Wird ein Dritter durch eine Einrichtung nach Absatz 1, die sich auf privatem Grund befindet, geschädigt, so haftet für den Schaden, wer für den Unterhalt der Einrichtung verantwortlich ist. Wird der Schaden durch vorsätzliches oder grobfahrlässiges Verhalten des Eigentümers oder der Eigentümerin verursacht, so haftet dieser oder diese dafür. 3 Eigentumsbeschränkungen und Haftung für Infrastrukturen des Sicherheitsfunknetzes richten sich nach dem Fernmeldegesetz vom 30. April 19971. 1 SR 784.10";"Entschädignung im Alarmierungskontext. Verbingun Alarmierung-Eigentümerausgleich";NA;NA;"Alarmierung";NA;NA;"Enteignungen und Ausgleich"
"25";"Art. 23";"  Art. 23 Aufhebung und Änderung bisherigen Rechts";"1 Die Alarmierungsverordnung vom 5. Dezember 20031 wird aufgehoben. 2 …2 1 [AS 2003 5165, 2008 5747 Anhang Ziff. 10]2 Die Änderung kann unter AS 2010 5179 konsultiert werden.";"";NA;NA;"";NA;NA;""
"26";"Art. 24";"  Art. 24 Übergangsbestimmung";"Bis die NAZ ihre Aufgaben gemäss Artikel 9 Absatz 3 zweiter Satz wahrnehmen kann, nimmt MeteoSchweiz diese wahr, längstens jedoch bis zum 31. Dezember 2011.";"";NA;NA;"";NA;NA;""
"27";"Art. 24";"  Art. 24a1Übergangsbestimmungen zur Änderung vom 15. Februar 2017";"1 Der Bund trägt seine Kosten für den Parallelbetrieb des Sicherheitsfunknetzes längstens bis 2025. 2 Er kann den Kantonen die technische Nachrüstung ihrer nach 2012 beschafften Sendeanlagen vorfinanzieren, sofern damit der Parallelbetrieb verkürzt werden kann und diese Lösung insgesamt wirtschaftlicher ist. Die Kantone zahlen die Vorfinanzierung bis spätestens Ende 2027 zurück. 1 Eingefügt durch Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"";NA;NA;"";NA;NA;""
"28";"Art. 25";"  Art. 25 Inkrafttreten";"Diese Verordnung tritt am 1. Januar 2011 in Kraft.";"";NA;NA;"";NA;NA;""
