article_title;article_text
Art. 11 Schutzdienstpflichtige Personen;Männer mit Schweizer Bürgerrecht, die für die Schutzdienstleistung tauglich sind, sind schutzdienstpflichtig.
Art. 12 Ausnahmen von der Schutzdienstpflicht;"1 Militär- und Zivildienstpflichtige sind nicht schutzdienstpflichtig. 2 Männer, die aus der Militärdienstpflicht ausscheiden, werden nicht schutzdienstpflichtig, wenn sie mindestens 50 Militärdiensttage geleistet haben.1 3 Wer aus der Zivildienstpflicht ausscheidet, wird nicht schutzdienstpflichtig.2 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 12a Dienstbefreiung von Behördenmitgliedern;"Folgende Personen müssen, solange sie ihre Funktion ausüben, keinen Schutzdienst leisten: a.die Mitglieder des Bundesrates;b.der Bundeskanzler oder die Bundeskanzlerin und die Vizekanzler und Vizekanzlerinnen;c.die Mitglieder der Bundesversammlung;d.die Mitglieder der eidgenössischen Gerichte;e.die Mitglieder der kantonalen Exekutiven;f.die hauptamtlichen Mitglieder der kantonalen Gerichte;g.die Mitglieder der kommunalen Exekutiven. 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 13 Dauer;"1 Die Schutzdienstpflicht beginnt mit dem Jahr, in dem die Pflichtigen 20 Jahre alt werden, und dauert bis zum Ende des Jahres, in dem sie 40 Jahre alt werden. 2 Der Bundesrat kann die Schutzdienstpflicht: a.höchstens so weit ausdehnen, dass sie bis zum Ende des Jahres dauert, in dem die Schutzdienstpflichtigen 50 Jahre alt werden;b.höchstens so weit verkürzen, dass sie nur bis zum Ende des Jahres dauert, in dem die Schutzdienstpflichtigen 35 Jahre alt werden."
Art. 14 Erweiterte Schutzdienstpflicht für den Fall bewaffneter Konflikte;"Für den Fall bewaffneter Konflikte kann der Bundesrat zusätzlich der Schutzdienstpflicht unterstellen: a.Wehrpflichtige, die nicht mehr militär- oder zivildienstpflichtig sind;b.Männer, die aus der Wehr- oder Zivildienstpflicht entlassen sind."
Art. 15 Freiwilliger Schutzdienst;"1 Folgende Personen können freiwillig Schutzdienst leisten: a.Männer, die aus der Schutzdienstpflicht entlassen sind;b.Wehrpflichtige, die nicht mehr militärdienstpflichtig oder zivildienstpflichtig sind;c.Männer, die aus der Wehr- oder Zivildienstpflicht entlassen sind;d.Schweizerinnen mit Beginn des Jahres, in dem sie 20 Jahre alt werden;e.in der Schweiz niedergelassene Ausländer und Ausländerinnen mit Beginn des Jahres, in dem sie 20 Jahre alt werden. 2 Die Kantone entscheiden über die Aufnahme. Es besteht kein Rechtsanspruch. 3 Personen, welche freiwillig Schutzdienst leisten, sind in Rechten und Pflichten den Schutzdienstpflichtigen gleichgestellt. 4 Sie sind auf Gesuch hin aus der Schutzdienstpflicht zu entlassen. Sie haben jedoch in der Regel mindestens drei Jahre Schutzdienst zu leisten. 5 Sie werden von Amtes wegen aus der Schutzdienstpflicht entlassen, wenn sie das 65. Altersjahr vollendet haben.1 1 Eingefügt durch Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 16 Rekrutierung;"1 Die Rekrutierung für den Zivilschutz und für die Armee wird gemeinsam durchgeführt. 2 Nicht rekrutiert werden Stellungspflichtige, die: a.infolge eines Strafurteils nach Artikel 21 Absatz 1 des Militärgesetzes vom 3. Februar 19951 für die Armee untragbar geworden sind; oderb.den Anforderungen des Militärdienstes aus psychischen Gründen insoweit nicht genügen, als sie Auffälligkeiten zeigen, die auf ein Gewaltpotenzial schliessen lassen.2 1 SR 510.102 Eingefügt durch Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 17 Einteilung der Schutzdienstpflichtigen ;"1 Die Schutzdienstpflichtigen stehen grundsätzlich dem Kanton, in welchem sie Wohnsitz haben, zur Verfügung. 2 Im Einvernehmen mit den betroffenen Kantonen können Schutzdienstpflichtige ausserhalb des Wohnsitzkantons eingeteilt werden.2 3 Der Wohnsitzkanton entscheidet über die Einteilung der Schutzdienstpflichtigen.3 1 Fassung gemäss Anhang Ziff. 4 des BG vom 19. März 2010, in Kraft seit 1. Jan. 2011 (AS 2010 6015; BBl 2009 5917).2 Fassung gemäss Anhang Ziff. 4 des BG vom 19. März 2010, in Kraft seit 1. Jan. 2011 (AS 2010 6015; BBl 2009 5917).3 Fassung gemäss Anhang Ziff. 4 des BG vom 19. März 2010, in Kraft seit 1. Jan. 2011 (AS 2010 6015; BBl 2009 5917)."
Art. 18 Personalreserve;"1 Die Kantone können Schutzdienstpflichtige in die Personalreserve einteilen. 2 Die in die Personalreserve Eingeteilten müssen nicht ausgebildet werden und haben keinen Anspruch darauf, Schutzdienst zu leisten. 1 Fassung gemäss Anhang Ziff. 4 des BG vom 19. März 2010, in Kraft seit 1. Jan. 2011 (AS 2010 6015; BBl 2009 5917)."
Art. 19 ;"1 Aufgehoben durch Ziff. I des BG vom 17. Juni 2011, mit Wirkung seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 20 Vorzeitige Entlassung;1 Schutzdienstpflichtige, die in einer Partnerorganisation benötigt werden, können vorzeitig aus der Schutzdienstpflicht entlassen werden. 2 Der Bundesrat regelt das Verfahren. 3 Die Kantone entscheiden über die vorzeitige Entlassung.
Art. 21 Ausschluss;"Schutzdienstpflichtige, die zu einer Freiheitsstrafe oder Geldstrafe von mindestens 30 Tagessätzen verurteilt werden, können vom Schutzdienst ausgeschlossen werden. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 22 Sold, Verpflegung, Transport und Unterkunft;"1 Schutzdienstleistende haben Anspruch auf Sold und unentgeltliche Verpflegung. 2 Sie haben ausserdem Anspruch auf: a.unentgeltlichen Transport mit öffentlichen Verkehrsmitteln für das Einrücken und die Entlassung sowie für den Transport zwischen dem Dienst- und dem Wohnort während des Urlaubs;b.unentgeltliche Unterkunft, sofern sie nicht zu Hause Unterkunft nehmen können."
Art. 23 Erwerbsausfallentschädigung;Schutzdienstleistende haben Anspruch auf Erwerbsausfallentschädigung nach den Bestimmungen des Erwerbsersatzgesetzes vom 25. September 19521. 1 SR 834.1
Art. 24 Wehrpflichtersatzabgabe;Schutzdienstleistenden werden bei der Berechnung der Wehrpflichtersatzabgabe nach dem Bundesgesetz vom 12. Juni 19591 über den Wehrpflichtersatz alle Ausbildungsdienste und Einsätze angerechnet, die besoldet sind und für die Anspruch auf Erwerbsausfallentschädigung besteht. 1 SR 661. Heute: BG über die Wehrpflichtersatzabgabe
Art. 25 Versicherung;Schutzdienstleistende sind nach dem Bundesgesetz vom 19. Juni 19921 über die Militärversicherung (MVG) versichert. 1 SR 833.1
Art. 25a Dauer der Schutzdienstleistungen;"Die Schutzdienstleistungen nach den Artikeln 27a und 33-37 dürfen insgesamt 40 Tage pro Jahr nicht überschreiten. 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 26 Pflichten;1 Die Schutzdienstpflichtigen haben den dienstlichen Anordnungen Folge zu leisten. 2 Schutzdienstpflichtige können verpflichtet werden, Kaderfunktionen zu übernehmen und die damit verbundenen Dienstleistungen zu erfüllen. Sie haben auch ausserdienstliche Pflichten zu erfüllen, insbesondere zur Vorbereitung von Ausbildungsdiensten und von Einsätzen des Zivilschutzes.
Art. 27 Aufgebot für Einsätze bei Katastrophen und in Notlagen, im Fall bewaffneter Konflikte sowie für Instandstellungsarbeiten ;"1 Die Schutzdienstpflichtigen können vom Bundesrat aufgeboten werden:2 a.3bei Katastrophen und in Notlagen, die mehrere Kantone oder die ganze Schweiz betreffen;b.4bei Katastrophen und in Notlagen, die das grenznahe Ausland betreffen;c.im Fall bewaffneter Konflikte;d.5…. 2 Sie können von den Kantonen aufgeboten werden:6 a.7bei Katastrophen und in Notlagen, die das Kantonsgebiet, andere Kantone oder das grenznahe Ausland betreffen;b.für Instandstellungsarbeiten;c.8…. 2bis Der Einsatz für Instandstellungsarbeiten muss innerhalb von drei Jahren nach Eintritt des Ereignisses abgeschlossen sein. Schutzdienstpflichtige dürfen für höchstens 21 Tage pro Jahr für Instandstellungsarbeiten aufgeboten werden. Die Frist beziehungsweise die zeitliche Obergrenze kann in Ausnahmefällen verlängert werden. Der Bundesrat legt die Kriterien fest.9 3 Die Kantone regeln das Verfahren des Aufgebots.10 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).3 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).4 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).5 Aufgehoben durch Ziff. I des BG vom 17. Juni 2011, mit Wirkung seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).6 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).7 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).8 Aufgehoben durch Ziff. I des BG vom 17. Juni 2011, mit Wirkung seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).9 Eingefügt durch Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105).10 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 27a Aufgebot für Einsätze zugunsten der Gemeinschaft;"1 Die Schutzdienstpflichtigen können für Einsätze zugunsten der Gemeinschaft aufgeboten werden: a.vom Bundesrat für Einsätze auf nationaler Ebene;b.von den Kantonen für Einsätze auf kantonaler, regionaler oder kommunaler Ebene. 2 Die gesamte Einsatzdauer beträgt höchstens 21 Tage pro Jahr. 3 Das Aufgebot ist den Schutzdienstpflichtigen mindestens 42 Tage vor Einsatzbeginn zuzustellen. 4 Der Bundesrat regelt die Voraussetzungen und das Bewilligungsverfahren.2 5 Die Kantone regeln das Verfahren des Aufgebots.3 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Eingefügt durch Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105).3 Ursprünglich: Abs. 4"
Art. 28 Kontrollaufgaben;"1 Die Kantone führen die Kontrolle über die Schutzdienstpflichtigen. Diese erfolgt im Personalinformationssystem der Armee und des Zivilschutzes.2 2 Das BABS überwacht:3 a.die Einhaltung der zeitlichen Obergrenzen nach den Artikeln 25a, 27 Absatz 2bis, 27a Absatz 2 und 33-36 sowie der Frist nach Artikel 27 Absatz 2bis;b.die Übereinstimmung der Instandstellungsarbeiten nach Artikel 27 Absatz 2 Buchstabe b, die nicht innerhalb von drei Monaten nach Eintritt des Ereignisses abgeschlossen werden können, sowie der Einsätze zugunsten der Gemeinschaft nach Artikel 27a Absatz 1 Buchstabe b mit dem Zweck und den Aufgaben des Zivilschutzes. 3 Die Kantone informieren das BABS vorgängig über: a.Instandstellungsarbeiten, die nicht innerhalb von drei Monaten nach Eintritt des Ereignisses abgeschlossen werden können;b.Einsätze zugunsten der Gemeinschaft. 4 Werden die zeitlichen Obergrenzen nach den Artikeln 25a, 27 Absatz 2bis, 27a Absatz 2 und 33-36 überschritten, so weist das BABS den betreffenden Kanton an, die betreffenden Schutzdienstpflichtigen nicht aufzubieten, und informiert die Zentrale Ausgleichsstelle. 5 Wird die Frist nach Artikel 27 Absatz 2bis nicht eingehalten, so weist das BABS den betreffenden Kanton an, die Instandstellungsarbeiten nicht durchzuführen. 6 Entsprechen die Instandstellungsarbeiten oder der Einsatz zugunsten der Gemeinschaft nicht dem Zweck und den Aufgaben des Zivilschutzes, so weist das BABS den betreffenden Kanton an, die Instandstellungsarbeiten beziehungsweise den Einsatz nicht durchzuführen oder die nötigen Anpassungen vorzunehmen. 7 Der Bundesrat regelt das Überwachungsverfahren. Er legt insbesondere fest, bis wann die Information an das BABS nach Absatz 3 sowie eine allfällige Anweisung des BABS nach den Absätzen 4-6 spätestens zu erfolgen haben. 1 Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105).2 Fassung gemäss Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955).3 Fassung gemäss Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955)."
Art. 29 Einzelpersonen;1 Jede Person ist verpflichtet, die Alarmierungsanordnungen und Verhaltensanweisungen zu befolgen. 2 Wer beim Einsatz des Zivilschutzes Hilfe leistet, ist nach dem MVG1 versichert. 1 SR 833.1
Art. 30 Hauseigentümer und -eigentümerinnen, Mieter und Mieterinnen;1 Die Hauseigentümer und -eigentümerinnen sowie die Mieter und Mieterinnen sind verpflichtet, für die Vorbereitung und den Vollzug der ihnen vorgeschriebenen Massnahmen zu sorgen. 2 Wird der Bezug der Schutzräume angeordnet, so müssen sie nicht benötigte Schutzplätze unentgeltlich dem Zivilschutz zur Verfügung stellen.
Art. 31 Inanspruchnahme von Eigentum in Friedenszeiten;Eigentümer und Eigentümerinnen sowie Mieter und Mieterinnen sind verpflichtet, dem Zivilschutz dienende technische Einrichtungen auf ihren Grundstücken zu dulden. Eine allfällige Wertminderung wird angemessen entschädigt.
Art. 32 Inanspruchnahme von Eigentum bei Katastrophen und in Notlagen sowie im Falle bewaffneter Konflikte;Bei Katastrophen und in Notlagen sowie im Falle bewaffneter Konflikte hat der Zivilschutz das Requisitionsrecht zu den gleichen Bedingungen wie die Armee.
Art. 33 Grundausbildung;"1 Schutzdienstpflichtige, die nach der Rekrutierung eingeteilt werden, absolvieren bis zum Ende des Jahres, in dem sie 26 Jahre alt werden, eine Grundausbildung von 10-19 Tagen. Schutzdienstpflichtige, die für eine Spezialistenfunktion vorgesehen sind, können überdies zu einer Zusatzausbildung von höchstens 5 Tagen aufgeboten werden. 2 Schutzdienstpflichtige, die ohne Grundausbildung in die Personalreserve eingeteilt werden, können bis zum Ende des Jahres, in dem sie 30 Jahre alt werden, zur Grundausbildung aufgeboten werden. 3 Personen, die bei ihrer Einbürgerung älter als 25 Jahre alt sind, werden durch die Kantone zur Rekrutierung angemeldet. Sie absolvieren die Grundausbildung bis spätestens zum Ende des Jahres, in dem sie 30 Jahre alt werden. 4 Personen, die freiwillig Schutzdienst leisten, absolvieren die Grundausbildung innerhalb von 3 Jahren nach der Rekrutierung. Verfügt eine Person bereits über eine gleichwertige Ausbildung, so bestimmt der Kanton, ob sie die Grundausbildung absolvieren muss. 1 Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 34 Kaderausbildung;"1 Schutzdienstpflichtige, die für die Kommandantenfunktion vorgesehen sind, absolvieren einen Kaderkurs für Kommandantinnen und Kommandanten von 15-24 Tagen. Sie werden vom Bund zu 10-12 Tagen und von den Kantonen zu 5-12 Tagen aufgeboten. Die Kantone tragen die ihnen anfallenden Kosten. 2 Schutzdienstpflichtige, die für eine andere Kaderfunktion vorgesehen sind, absolvieren einen Kaderkurs von 5-12 Tagen. 1 Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 35 Weiterbildung;"1 Schutzdienstpflichtige in Kader- und Spezialistenfunktionen sowie Schutzdienstpflichtige, die der Grundfunktion Materialwartin oder Materialwart oder Anlagewartin oder Anlagewart zugeteilt sind, können innerhalb von 4 Jahren zu Weiterbildungskursen von insgesamt höchstens 12 Tagen aufgeboten werden. 2 Schutzdienstpflichtige nach Artikel 39 Absatz 2 können innerhalb ihrer Weiterbildung nach Absatz 1 bis zu höchstens 5 Tage von den Kantonen aufgeboten werden. Die Kantone tragen die ihnen anfallenden Kosten. 1 Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 36 Wiederholungskurse;"1 Schutzdienstpflichtige werden nach der Grundausbildung jährlich zu Wiederholungskursen von 2-7 Tagen aufgeboten. 2 Kommandantinnen und Kommandanten sowie deren Stellvertreterinnen und Stellvertreter können jährlich zu höchstens 19 weiteren Tagen aufgeboten werden.2 3 Schutzdienstpflichtige in den übrigen Kaderfunktionen und in Spezialistenfunktionen sowie Schutzdienstpflichtige, die der Grundfunktion Materialwartin oder Materialwart oder Anlagewartin oder Anlagewart zugeteilt sind, können jährlich zu höchstens 12 weiteren Tagen aufgeboten werden.3 4 Wiederholungskurse können auch im grenznahen Ausland absolviert werden. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105).3 Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 37 Dienst in der Zivilschutzverwaltung;1 Bei zwingendem Bedarf können Schutzdienstpflichtige zum Dienst in der Zivilschutzverwaltung aufgeboten werden. 2 Der Dienst in der Zivilschutzverwaltung gilt als Wiederholungskurs nach Artikel 36.
Art. 38 Aufgebot zur Ausbildung;"1 Die Kantone regeln das Aufgebot für Dienstleistungen nach den Artikeln 33-37. 2 Das BABS regelt das Aufgebot für die Aus- und Weiterbildungsdienste nach Artikel 39 Absatz 2.1 3 Das Aufgebot ist den Schutzdienstpflichtigen mindestens sechs Wochen vor Dienstbeginn zuzustellen. 4 Gesuche um Verschiebung von Dienstleistungen sind durch den Schutzdienstpflichtigen an die aufbietende Stelle zu richten. 1 Fassung gemäss Ziff. I des BG vom 27. Sept. 2013, in Kraft seit 1. Febr. 2015 (AS 2015 187; BBl 2013 2105)."
Art. 39 Unterstützung durch den Bund;"1 Der Bund schafft in Zusammenarbeit mit den Kantonen die Grundlagen für eine einheitliche Ausbildung. 2 Er bildet die Kommandantinnen und Kommandanten, deren Stellvertreterinnen und Stellvertreter sowie für die Führungsunterstützung und für den Kulturgüterschutz Kadermitglieder und bestimmte Spezialistinnen und Spezialisten aus.1 3 Er kann die Durchführung von Ausbildungen mit den Kantonen vereinbaren. Für Ausbildungen im Zuständigkeitsbereich der Kantone sind die entsprechenden Kosten von diesen zu übernehmen. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 40 Ausbildung von Lehrpersonal;1 Der Bund stellt die Ausbildung des Lehrpersonals für den Zivilschutz sicher. 2 Er ermöglicht dem Lehrpersonal der Partnerorganisationen die Teilnahme an Ausbildungsangeboten.
Art. 41 Ausbildungsinfrastruktur;Der Bund betreibt eine Ausbildungsinfrastruktur.
Art. 42 Aufhebung von Zivilschutz-Ausbildungszentren;"1 Werden Zivilschutz-Ausbildungszentren aufgehoben und zweckentfremdet genutzt oder veräussert, so sind die Bundesbeiträge zurückzuerstatten. 2 Werden Zivilschutz-Ausbildungszentren infolge von Reformen oder neuen Organisationsstrukturen aufgehoben, so sind keine Bundesbeiträge zurückzuerstatten. Bundesbeiträge, die an Landerwerbskosten geleistet wurden, sind zurückzuerstatten, sofern das Land gewinnbringend veräussert wird. 3 Die Kantone melden dem BABS die Aufhebung von Zivilschutz-Ausbildungszentren.1 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 43 Bund;"1 Der Bund sorgt für: a.die Sicherstellung der Systeme zur Alarmierung der Bevölkerung;b.die Sicherstellung der Telematiksysteme des Zivilschutzes;c.die Ausrüstung und das Material der Schutzanlagen;d.das standardisierte Material des Zivilschutzes. 1bis Der Bundesrat legt fest, welche Kosten der Bund zur Sicherstellung nach Absatz 1 Buchstabe a trägt.1 2 Er legt Art und Umfang des standardisierten Materials nach Absatz 1 Buchstabe d fest.2 1 Eingefügt durch Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955).2 Eingefügt durch Ziff. I des BG vom 17. Juni 2011 (AS 2011 5891; BBl 2010 6055). Fassung gemäss Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955)."
Art. 43a Kantone;"1 Die Kantone sorgen für das Einsatzmaterial und die persönliche Ausrüstung der Schutzdienstpflichtigen. 2 Das BABS erarbeitet im Einvernehmen mit den Kantonen Empfehlungen, um die Einheitlichkeit des Einsatzmaterials und der persönlichen Ausrüstung zu gewährleisten. 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 43b Wasseralarmsystem;"1 Die Werkeigentümer von Stauanlagen sorgen für die Erstellung, den Unterhalt und die Erneuerung der zum Wasseralarmsystem gehörenden baulichen Einrichtungen. 2 Der Bundesrat legt die technischen Anforderungen an die Wasseralarmsysteme sowie an die notwendigen baulichen Einrichtungen fest. 1 Eingefügt durch Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
Art. 44 ;"1 Aufgehoben durch Ziff. I des BG vom 17. Juni 2011, mit Wirkung seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
